close,date,drawdown_60,rsi14,type,volume_ratio20
164470.0,20250727,-0.2744,,DRAWDOWN_15PCT_60D,
159740.0,20250728,-0.2952,,DRAWDOWN_15PCT_60D,
154950.0,20250729,,27.6,RSI_OVERSOLD,
154950.0,20250729,,,BREAKOUT_DOWN_20D,
154950.0,20250729,-0.3164,,DRAWDOWN_15PCT_60D,
151220.0,20250730,,25.4,RSI_OVERSOLD,
151220.0,20250730,,,BREAKOUT_DOWN_20D,
151220.0,20250730,-0.3328,,DRAWDOWN_15PCT_60D,
150880.0,20250802,,25.2,RSI_OVERSOLD,
150880.0,20250802,,,BREAKOUT_DOWN_20D,
150880.0,20250802,-0.3343,,DRAWDOWN_15PCT_60D,
154590.0,20250803,-0.318,,DRAWDOWN_15PCT_60D,
158170.0,20250804,-0.3022,,DRAWDOWN_15PCT_60D,
155420.0,20250805,-0.3143,,DRAWDOWN_15PCT_60D,
155160.0,20250806,-0.3155,,DRAWDOWN_15PCT_60D,
159630.0,20250809,-0.2957,,DRAWDOWN_15PCT_60D,
158360.0,20250810,-0.3013,,DRAWDOWN_15PCT_60D,
159240.0,20250811,-0.2974,,DRAWDOWN_15PCT_60D,
155940.0,20250812,-0.312,,DRAWDOWN_15PCT_60D,
151610.0,20250813,-0.3311,,DRAWDOWN_15PCT_60D,
149190.0,20250816,,,BREAKOUT_DOWN_20D,
149190.0,20250816,-0.3418,,DRAWDOWN_15PCT_60D,
153520.0,20250817,-0.3227,,DRAWDOWN_15PCT_60D,
157380.0,20250818,-0.2996,,DRAWDOWN_15PCT_60D,
154370.0,20250819,-0.3021,,DRAWDOWN_15PCT_60D,
151600.0,20250820,-0.3146,,DRAWDOWN_15PCT_60D,
153360.0,20250823,-0.3024,,DRAWDOWN_15PCT_60D,
149650.0,20250825,-0.3192,,DRAWDOWN_15PCT_60D,
149770.0,20250826,-0.3187,,DRAWDOWN_15PCT_60D,
151900.0,20250827,-0.2998,,DRAWDOWN_15PCT_60D,
148930.0,20250830,,,BREAKOUT_DOWN_20D,
148930.0,20250830,-0.3065,,DRAWDOWN_15PCT_60D,
153360.0,20250831,-0.2853,,DRAWDOWN_15PCT_60D,
157960.0,20250902,-0.2639,,DRAWDOWN_15PCT_60D,
162690.0,20250903,,,BREAKOUT_UP_20D,
162690.0,20250903,-0.2331,,DRAWDOWN_15PCT_60D,
166480.0,20250906,,,VOLUME_SPIKE_2X,3.08
166480.0,20250906,,,BREAKOUT_UP_20D,
166480.0,20250906,-0.1914,,DRAWDOWN_15PCT_60D,
169840.0,20250907,,,BREAKOUT_UP_20D,
169840.0,20250907,-0.1656,,DRAWDOWN_15PCT_60D,
174930.0,20250908,,,BREAKOUT_UP_20D,
