date,close,return_1d,sma5,sma20,sma50,ema12,ema26,rsi14,macd,macd_signal,atr14,volume_ratio20,roc20,drawdown_60,breakout_up20,breakout_down20,composite_score,prediction,future_return_5d,prediction_correct
20211208,71340.0,0.020163020163020073,70420.0,71223.5,73037.8,70668.33222097132,71516.92103682595,49.27196092323076,-848.5888158546295,-921.4236644815791,1259.2861442693554,1.3093129058760578,-0.08279763435330423,-0.12584242127190293,False,False,0,NEUTRAL,-0.046677880571909136,
20211211,70180.0,-0.016260162601625994,70450.0,71017.0,72841.0,70593.20418697574,71417.88984891292,46.011657006628916,-824.6856619371829,-902.0760639726999,1252.1942768215445,0.6078754469402936,-0.05557798412057602,-0.1400563656414655,False,False,-2,DOWN,-0.01909375890567111,True
20211212,68680.0,-0.021373610715303526,69990.0,70721.5,72629.4,70298.86508128716,71215.08319343788,42.129586745691896,-916.2181121507165,-904.9044736083033,1269.8946856200055,0.5786726437143171,-0.07923314117173885,-0.15843646611934814,False,True,-5,DOWN,-0.02023878858474082,True
20211213,68100.0,-0.008444962143273171,69646.0,70532.5,72359.2,69960.57814570452,70984.33629022025,40.69967931561061,-1023.7581445157266,-928.6752077897879,1220.616493790005,0.8041546616224919,-0.05258764607679467,-0.16554343830412943,False,True,-5,DOWN,-0.007929515418502175,True
20211214,68270.0,0.0024963289280470757,69314.0,70350.5,72126.6,69700.48920021152,70783.27434279653,41.328251796767226,-1082.7851425850095,-959.4971947488323,1145.5724585192904,0.8885426709601363,-0.0506188290919205,-0.16346036024996935,False,False,-4,DOWN,0.0019042038962941987,False
20211215,68010.0,-0.0038084077925882864,68648.0,70118.5,71888.0,69440.41393864051,70577.8466137005,40.61910237418617,-1137.4326750599867,-995.0842908110633,1082.3172829107696,0.6096719457162728,-0.06386785960082586,-0.1666462443328024,False,True,-5,DOWN,0.05940302896632854,False
20211218,68840.0,0.012204087634171357,68380.0,70049.0,71649.6,69348.04256346505,70449.11723490787,43.9268696643972,-1101.0746714428242,-1016.2823669374154,1064.2946198457146,0.7586025820692606,-0.019792111633205156,-0.15647592206837402,False,False,-4,DOWN,0.06812899477048218,False
20211219,67290.0,-0.02251597908192915,68102.0,69849.0,71434.8,69031.42063062427,70215.10855084061,39.501586938462076,-1183.68792021634,-1049.7634775932004,1098.9878612853065,0.6702285359163647,-0.05610885117127229,-0.175468692562186,False,True,-5,DOWN,0.06836082627433493,False
20211220,67560.0,0.004012483281319756,67994.0,69559.5,71236.2,68805.04822591285,70018.43384337093,40.62371021945142,-1213.385617458087,-1082.4879055661777,1039.7744426220704,0.788475467783675,-0.07893660531697344,-0.1721602744761671,False,False,-4,DOWN,0.07430432208407334,False
20211221,68400.0,0.01243339253996445,68020.0,69378.5,71060.4,68742.73311423395,69898.54985497308,44.09768445081652,-1155.8167407391302,-1097.1536726007682,1025.5048395776369,1.1003120206005035,-0.05026381560677584,-0.16186741820855288,False,False,-4,DOWN,0.05350877192982462,False
